word,freq
chicken,chicken,71
cinnamon,cinnamon,114
soy_sauce,soy_sauce,3
onion,onion,189
ginger,ginger,84
cane_molasses,cane_molasses,11
cumin,cumin,166
garlic,garlic,160
tamarind,tamarind,3
bread,bread,22
coriander,coriander,104
vinegar,vinegar,29
beef,beef,31
cayenne,cayenne,116
parsley,parsley,70
wheat_bread,wheat_bread,1
yogurt,yogurt,7
vegetable_oil,vegetable_oil,60
egg,egg,48
butter,butter,68
pepper,pepper,67
cardamom,cardamom,19
cottage_cheese,cottage_cheese,1
brassica,brassica,3
olive_oil,olive_oil,196
wheat,wheat,114
rice,rice,25
leek,leek,5
honey,honey,42
yeast,yeast,9
tomato,tomato,100
cilantro,cilantro,80
lemon_juice,lemon_juice,81
scallion,scallion,16
cassava,cassava,3
potato,potato,20
black_pepper,black_pepper,98
carrot,carrot,49
cabbage,cabbage,4
turmeric,turmeric,59
fenugreek,fenugreek,19
banana,banana,4
coconut,coconut,9
pumpkin,pumpkin,2
lamb,lamb,46
bay,bay,15
fennel,fennel,16
zucchini,zucchini,25
beef_broth,beef_broth,7
bell_pepper,bell_pepper,103
meat,meat,7
apricot,apricot,23
basil,basil,8
starch,starch,5
vanilla,vanilla,8
milk,milk,22
olive,olive,44
caraway,caraway,26
red_wine,red_wine,18
cod,cod,8
raisin,raisin,47
almond,almond,44
white_bread,white_bread,2
vegetable,vegetable,14
brown_rice,brown_rice,1
peanut_butter,peanut_butter,13
bean,bean,10
nutmeg,nutmeg,12
rosemary,rosemary,4
chicken_broth,chicken_broth,58
green_bell_pepper,green_bell_pepper,13
chickpea,chickpea,39
roasted_peanut,roasted_peanut,6
sweet_potato,sweet_potato,11
thyme,thyme,17
mushroom,mushroom,3
peanut_oil,peanut_oil,7
seed,seed,22
shrimp,shrimp,6
pear,pear,4
rutabaga,rutabaga,2
parsnip,parsnip,3
celery,celery,13
fish,fish,21
date,date,11
lard,lard,7
lentil,lentil,10
rose,rose,5
walnut,walnut,7
macaroni,macaroni,9
lemon,lemon,57
roasted_sesame_seed,roasted_sesame_seed,3
cucumber,cucumber,8
mint,mint,33
plum,plum,12
turnip,turnip,9
mustard,mustard,8
salmon,salmon,2
lime_juice,lime_juice,10
lime,lime,4
saffron,saffron,38
parmesan_cheese,parmesan_cheese,5
pea,pea,9
orange_juice,orange_juice,12
feta_cheese,feta_cheese,4
thai_pepper,thai_pepper,1
chervil,chervil,2
cheese,cheese,3
cauliflower,cauliflower,4
broccoli,broccoli,3
oregano,oregano,4
squash,squash,15
orange_flower,orange_flower,1
nut,nut,7
pistachio,pistachio,6
corn,corn,7
cream,cream,14
peach,peach,1
whole_grain_wheat_flour,whole_grain_wheat_flour,4
cream_cheese,cream_cheese,1
sesame_seed,sesame_seed,12
anise,anise,2
goat_cheese,goat_cheese,2
radish,radish,2
orange,orange,15
cranberry,cranberry,2
kidney_bean,kidney_bean,2
pimento,pimento,2
hazelnut,hazelnut,4
pecan,pecan,2
smoke,smoke,5
apple,apple,6
milk_fat,milk_fat,5
mace,mace,2
anise_seed,anise_seed,1
white_wine,white_wine,12
grape_juice,grape_juice,3
currant,currant,7
orange_peel,orange_peel,7
wine,wine,4
soybean,soybean,1
gelatin,gelatin,3
brandy,brandy,3
peppermint_oil,peppermint_oil,1
haddock,haddock,2
sherry,sherry,3
roasted_beef,roasted_beef,1
lima_bean,lima_bean,1
fruit,fruit,1
barley,barley,4
lemon_peel,lemon_peel,8
kumquat,kumquat,2
rye_flour,rye_flour,1
shallot,shallot,8
beet,beet,3
pineapple,pineapple,3
condiment,condiment,2
lime_peel_oil,lime_peel_oil,3
cocoa,cocoa,2
yam,yam,2
juniper_berry,juniper_berry,1
bone_oil,bone_oil,2
veal,veal,2
quince,quince,2
flower,flower,2
fig,fig,2
dill,dill,2
marjoram,marjoram,5
turkey,turkey,2
coffee,coffee,1
cider,cider,1
mussel,mussel,1
chive,chive,1
artichoke,artichoke,1
lobster,lobster,2
prawn,prawn,1
okra,okra,2
citrus,citrus,1
star_anise,star_anise,1
pork,pork,1
peanut,peanut,3
papaya,papaya,1
octopus,octopus,1
lemongrass,lemongrass,1
rum,rum,1
sunflower_oil,sunflower_oil,1
lettuce,lettuce,2
sage,sage,1
tabasco_pepper,tabasco_pepper,1
pork_sausage,pork_sausage,1
passion_fruit,passion_fruit,1
squid,squid,1
black_bean,black_bean,1
avocado,avocado,1
mango,mango,4
tuna,tuna,2
bacon,bacon,1

