word,freq
chicken,chicken,5294
cinnamon,cinnamon,5603
soy_sauce,soy_sauce,3236
onion,onion,18031
ginger,ginger,3816
cane_molasses,cane_molasses,7655
cumin,cumin,3220
garlic,garlic,16893
tamarind,tamarind,1663
bread,bread,4553
coriander,coriander,1514
vinegar,vinegar,7695
beef,beef,4822
cayenne,cayenne,7950
parsley,parsley,5562
wheat_bread,wheat_bread,83
yogurt,yogurt,1044
vegetable_oil,vegetable_oil,10759
egg,egg,20951
butter,butter,20744
pepper,pepper,9060
cardamom,cardamom,368
cottage_cheese,cottage_cheese,348
brassica,brassica,109
olive_oil,olive_oil,9844
wheat,wheat,20782
rice,rice,3395
leek,leek,411
honey,honey,2483
yeast,yeast,3397
tomato,tomato,9909
cilantro,cilantro,2249
lemon_juice,lemon_juice,5033
scallion,scallion,4342
cassava,cassava,22
potato,potato,3545
black_pepper,black_pepper,9752
carrot,carrot,3570
cabbage,cabbage,938
turmeric,turmeric,1233
fenugreek,fenugreek,871
banana,banana,984
coconut,coconut,1710
pumpkin,pumpkin,803
lamb,lamb,472
bay,bay,1472
fennel,fennel,907
zucchini,zucchini,1093
beef_broth,beef_broth,835
bell_pepper,bell_pepper,5847
meat,meat,970
apricot,apricot,620
basil,basil,3779
starch,starch,2585
vanilla,vanilla,9025
milk,milk,12895
olive,olive,1797
caraway,caraway,230
red_wine,red_wine,1393
cod,cod,174
raisin,raisin,1903
almond,almond,2320
white_bread,white_bread,370
vegetable,vegetable,1660
brown_rice,brown_rice,337
peanut_butter,peanut_butter,995
bean,bean,1903
nutmeg,nutmeg,2512
rosemary,rosemary,1890
chicken_broth,chicken_broth,3454
green_bell_pepper,green_bell_pepper,2578
chickpea,chickpea,404
roasted_peanut,roasted_peanut,165
sweet_potato,sweet_potato,518
thyme,thyme,3041
mushroom,mushroom,3317
peanut_oil,peanut_oil,210
seed,seed,1313
shrimp,shrimp,1543
pear,pear,468
rutabaga,rutabaga,34
parsnip,parsnip,139
celery,celery,3603
fish,fish,1879
date,date,375
lard,lard,3052
lentil,lentil,250
rose,rose,63
walnut,walnut,2741
macaroni,macaroni,3074
lemon,lemon,3046
roasted_sesame_seed,roasted_sesame_seed,593
cucumber,cucumber,1810
mint,mint,932
plum,plum,277
turnip,turnip,183
mustard,mustard,4096
salmon,salmon,434
lime_juice,lime_juice,1427
lime,lime,1083
saffron,saffron,236
parmesan_cheese,parmesan_cheese,3167
pea,pea,1099
orange_juice,orange_juice,1700
feta_cheese,feta_cheese,621
thai_pepper,thai_pepper,87
chervil,chervil,52
cheese,cheese,3282
cauliflower,cauliflower,325
broccoli,broccoli,901
oregano,oregano,3179
squash,squash,558
orange_flower,orange_flower,18
nut,nut,1219
pistachio,pistachio,219
corn,corn,4777
cream,cream,10152
peach,peach,528
whole_grain_wheat_flour,whole_grain_wheat_flour,732
cream_cheese,cream_cheese,2839
