word,freq
beef_broth,beef_broth,139
egg,egg,567
soy_sauce,soy_sauce,1358
soybean,soybean,627
sesame_oil,sesame_oil,937
beef,beef,459
roasted_sesame_seed,roasted_sesame_seed,492
matsutake,matsutake,50
black_pepper,black_pepper,761
scallion,scallion,1188
garlic,garlic,1302
vinegar,vinegar,543
cayenne,cayenne,1008
cucumber,cucumber,241
rice,rice,849
ginger,ginger,818
lettuce,lettuce,78
vegetable,vegetable,543
sake,sake,465
fish,fish,507
potato,potato,88
sweet_potato,sweet_potato,25
onion,onion,590
cabbage,cabbage,109
chicken,chicken,216
radish,radish,305
seaweed,seaweed,173
shrimp,shrimp,356
chinese_cabbage,chinese_cabbage,157
sesame_seed,sesame_seed,185
vegetable_oil,vegetable_oil,760
nut,nut,164
pork,pork,245
wheat,wheat,441
mustard,mustard,80
bread,bread,37
carrot,carrot,367
kelp,kelp,178
mussel,mussel,32
pear,pear,88
meat,meat,37
eel,eel,20
yeast,yeast,41
nira,nira,64
shiitake,shiitake,317
honey,honey,105
starch,starch,346
bell_pepper,bell_pepper,200
black_sesame_seed,black_sesame_seed,24
bean,bean,96
oyster,oyster,145
broccoli,broccoli,30
lemon_juice,lemon_juice,43
shellfish,shellfish,23
corn,corn,88
watercress,watercress,5
chicken_broth,chicken_broth,92
tomato,tomato,92
celery_oil,celery_oil,46
leek,leek,10
pepper,pepper,136
pea,pea,63
wine,wine,150
peanut,peanut,46
coriander,coriander,30
sherry,sherry,51
peanut_oil,peanut_oil,54
black_bean,black_bean,28
cider,cider,11
maple_syrup,maple_syrup,4
cane_molasses,cane_molasses,78
shallot,shallot,25
grape_juice,grape_juice,5
ham,ham,29
mushroom,mushroom,170
white_wine,white_wine,30
celery,celery,31
cilantro,cilantro,62
orange_peel,orange_peel,3
sour_cherry,sour_cherry,1
apricot,apricot,4
plum,plum,7
walnut,walnut,21
asparagus,asparagus,10
turnip,turnip,6
bacon,bacon,23
date,date,3
seed,seed,7
pork_sausage,pork_sausage,10
green_bell_pepper,green_bell_pepper,12
butter,butter,67
bitter_orange,bitter_orange,1
cocoa,cocoa,4
brandy,brandy,2
kumquat,kumquat,1
cream,cream,24
scallop,scallop,18
root,root,5
kale,kale,3
barley,barley,40
lentil,lentil,1
mint,mint,11
lemon_peel,lemon_peel,3
thai_pepper,thai_pepper,11
macaroni,macaroni,12
clam,clam,126
orange,orange,20
star_anise,star_anise,21
almond,almond,25
lard,lard,11
whole_grain_wheat_flour,whole_grain_wheat_flour,1
tamarind,tamarind,11
chive,chive,14
roasted_peanut,roasted_peanut,6
mandarin,mandarin,3
milk,milk,51
lamb,lamb,3
cinnamon,cinnamon,43
tarragon,tarragon,1
anise_seed,anise_seed,4
egg_noodle,egg_noodle,6
melon,melon,5
peanut_butter,peanut_butter,11
lime_juice,lime_juice,20
