word,freq
butter,butter,201
onion,onion,162
potato,potato,73
haddock,haddock,1
black_pepper,black_pepper,88
parsley,parsley,47
celery,celery,22
milk_fat,milk_fat,22
smoke,smoke,9
milk,milk,94
cream,cream,111
lemon_juice,lemon_juice,25
wheat,wheat,197
yeast,yeast,48
apricot,apricot,18
egg,egg,197
vinegar,vinegar,50
pepper,pepper,52
cucumber,cucumber,9
bell_pepper,bell_pepper,50
beef,beef,49
egg_noodle,egg_noodle,23
red_wine,red_wine,14
cayenne,cayenne,13
bay,bay,18
garlic,garlic,88
savory,savory,3
vegetable_oil,vegetable_oil,82
beef_broth,beef_broth,20
lemon_peel,lemon_peel,5
starch,starch,10
almond,almond,15
sour_cherry,sour_cherry,2
white_wine,white_wine,16
olive_oil,olive_oil,37
green_bell_pepper,green_bell_pepper,20
carrot,carrot,27
tomato,tomato,63
caraway,caraway,21
parsnip,parsnip,3
seed,seed,36
bread,bread,28
cane_molasses,cane_molasses,25
cinnamon,cinnamon,34
walnut,walnut,21
brussels_sprout,brussels_sprout,2
chicken_broth,chicken_broth,20
cider,cider,7
dill,dill,43
cheese,cheese,21
meat,meat,14
bacon,bacon,29
thyme,thyme,12
honey,honey,13
cocoa,cocoa,19
beet,beet,22
chive,chive,17
cabbage,cabbage,39
orange_peel,orange_peel,3
vanilla,vanilla,56
orange_juice,orange_juice,4
cranberry,cranberry,2
hazelnut,hazelnut,10
mushroom,mushroom,24
marjoram,marjoram,13
shallot,shallot,6
scallop,scallop,1
veal,veal,5
lard,lard,23
roasted_sesame_seed,roasted_sesame_seed,1
nut,nut,5
cumin,cumin,7
chickpea,chickpea,1
fish,fish,6
caviar,caviar,2
buckwheat,buckwheat,6
smoked_salmon,smoked_salmon,2
macaroni,macaroni,7
apple,apple,18
coffee,coffee,5
lemon,lemon,32
raisin,raisin,30
oregano,oregano,4
yogurt,yogurt,6
rice,rice,19
sweet_potato,sweet_potato,2
scallion,scallion,10
grape_juice,grape_juice,2
gruyere_cheese,gruyere_cheese,1
nutmeg,nutmeg,13
vegetable,vegetable,9
corn,corn,15
champagne_wine,champagne_wine,3
horseradish,horseradish,9
watercress,watercress,1
lamb,lamb,8
pea,pea,5
clam,clam,2
shiitake,shiitake,2
salmon,salmon,2
leek,leek,4
raspberry,raspberry,2
strawberry,strawberry,5
cottage_cheese,cottage_cheese,13
zucchini,zucchini,1
okra,okra,1
roasted_beef,roasted_beef,3
liver,liver,1
smoked_sausage,smoked_sausage,16
sauerkraut,sauerkraut,28
turnip,turnip,3
white_bread,white_bread,5
kohlrabi,kohlrabi,1
bone_oil,bone_oil,1
juniper_berry,juniper_berry,4
lovage,lovage,1
lettuce,lettuce,4
salmon_roe,salmon_roe,2
gelatin,gelatin,4
orange,orange,11
rum,rum,7
pork,pork,20
mustard,mustard,15
plum,plum,9
brandy,brandy,6
coriander,coriander,2
fenugreek,fenugreek,2
cilantro,cilantro,3
basil,basil,5
wine,wine,1
rosemary,rosemary,2
pork_sausage,pork_sausage,17
currant,currant,5
cherry_brandy,cherry_brandy,4
cherry,cherry,7
barley,barley,1
pistachio,pistachio,2
cream_cheese,cream_cheese,19
turkey,turkey,2
pumpkin,pumpkin,1
chicken,chicken,25
lime_juice,lime_juice,2
cheddar_cheese,cheddar_cheese,9
anise,anise,2
ginger,ginger,6
celery_oil,celery_oil,6
tamarind,tamarind,10
porcini,porcini,1
parmesan_cheese,parmesan_cheese,3
black_currant,black_currant,1
blackberry,blackberry,1
saffron,saffron,1
chicken_liver,chicken_liver,3
rye_bread,rye_bread,4
corn_grit,corn_grit,1
mozzarella_cheese,mozzarella_cheese,4
pear,pear,1
beer,beer,1
radish,radish,2
buttermilk,buttermilk,3
feta_cheese,feta_cheese,2
mint,mint,3
roasted_pork,roasted_pork,3
ham,ham,3
tomato_juice,tomato_juice,3
whiskey,whiskey,4
pecan,pecan,3
tabasco_pepper,tabasco_pepper,5
rye_flour,rye_flour,4
mace,mace,4
olive,olive,3
fruit,fruit,8
asparagus,asparagus,1
cashew,cashew,1
root,root,1
cured_pork,cured_pork,1
tea,tea,1
banana,banana,2
bean,bean,3
whole_grain_wheat_flour,whole_grain_wheat_flour,1
black_tea,black_tea,1
swiss_cheese,swiss_cheese,5
rutabaga,rutabaga,1
tarragon,tarragon,1
fennel,fennel,1
lentil,lentil,1
brown_rice,brown_rice,1
sherry,sherry,1
sage,sage,3
soy_sauce,soy_sauce,2
cardamom,cardamom,1
coconut,coconut,1
kidney_bean,kidney_bean,1
sesame_seed,sesame_seed,1
wheat_bread,wheat_bread,1
cod,cod,1
citrus,citrus,1
violet,violet,1

