word,freq
tomato,tomato,1579
cilantro,cilantro,724
lemon_juice,lemon_juice,142
onion,onion,1906
green_bell_pepper,green_bell_pepper,334
cayenne,cayenne,1946
olive_oil,olive_oil,556
pepper,pepper,640
wheat,wheat,660
vinegar,vinegar,397
asparagus,asparagus,5
parsley,parsley,145
white_wine,white_wine,58
garlic,garlic,1752
bell_pepper,bell_pepper,604
oregano,oregano,529
basil,basil,82
vegetable_oil,vegetable_oil,732
chicken,chicken,420
potato,potato,133
lime_juice,lime_juice,411
cumin,cumin,833
scallion,scallion,385
cream,cream,525
beef,beef,475
corn,corn,868
black_pepper,black_pepper,576
buttermilk,buttermilk,42
bean,bean,288
egg,egg,519
lettuce,lettuce,173
soybean,soybean,6
mozzarella_cheese,mozzarella_cheese,51
lime,lime,225
turmeric,turmeric,26
butter,butter,416
cheese,cheese,543
ham,ham,37
cane_molasses,cane_molasses,174
red_wine,red_wine,68
tabasco_pepper,tabasco_pepper,96
seed,seed,96
cucumber,cucumber,46
olive,olive,259
tamarind,tamarind,75
bread,bread,132
lemon,lemon,52
tomato_juice,tomato_juice,20
beef_broth,beef_broth,49
rice,rice,215
apple,apple,26
plum,plum,8
milk,milk,334
pecan,pecan,33
cinnamon,cinnamon,182
orange,orange,61
tequila,tequila,64
coconut,coconut,59
rum,rum,35
sage,sage,8
kidney_bean,kidney_bean,100
beer,beer,30
brandy,brandy,15
vanilla,vanilla,115
walnut,walnut,19
pork,pork,143
celery,celery,118
chicken_broth,chicken_broth,259
turkey,turkey,82
bacon,bacon,90
smoke,smoke,25
raspberry,raspberry,10
parmesan_cheese,parmesan_cheese,37
avocado,avocado,288
cream_cheese,cream_cheese,111
bay,bay,79
orange_juice,orange_juice,82
black_bean,black_bean,216
macaroni,macaroni,75
pork_sausage,pork_sausage,80
mushroom,mushroom,108
cheddar_cheese,cheddar_cheese,495
roasted_beef,roasted_beef,19
starch,starch,49
honey,honey,64
meat,meat,60
yogurt,yogurt,21
lime_peel_oil,lime_peel_oil,21
mustard,mustard,98
lard,lard,174
fish,fish,66
cabbage,cabbage,37
almond,almond,57
cocoa,cocoa,79
white_bread,white_bread,12
anise,anise,9
sesame_seed,sesame_seed,22
lima_bean,lima_bean,11
celery_oil,celery_oil,40
carrot,carrot,104
whole_grain_wheat_flour,whole_grain_wheat_flour,16
shrimp,shrimp,89
crab,crab,21
corn_grit,corn_grit,50
smoked_sausage,smoked_sausage,8
ginger,ginger,52
mango,mango,46
mint,mint,41
banana,banana,38
tarragon,tarragon,4
melon,melon,6
catfish,catfish,4
pineapple,pineapple,50
peanut_oil,peanut_oil,6
coriander,coriander,83
yeast,yeast,63
pimento,pimento,27
pear,pear,12
roasted_pork,roasted_pork,15
radish,radish,31
grape,grape,12
soy_sauce,soy_sauce,53
oyster,oyster,6
vegetable,vegetable,53
milk_fat,milk_fat,47
gelatin,gelatin,8
lamb,lamb,10
anise_seed,anise_seed,17
raisin,raisin,50
thyme,thyme,72
roasted_peanut,roasted_peanut,8
pea,pea,38
sherry,sherry,23
watercress,watercress,5
cassava,cassava,9
zucchini,zucchini,56
shiitake,shiitake,8
coffee,coffee,24
nutmeg,nutmeg,28
squash,squash,32
palm,palm,3
lentil,lentil,8
cod,cod,11
orange_peel,orange_peel,7
peanut,peanut,7
cashew,cashew,4
lobster,lobster,6
katsuobushi,katsuobushi,2
clam,clam,10
saffron,saffron,5
scallop,scallop,8
chive,chive,26
cherry,cherry,12
fig,fig,1
lemon_peel,lemon_peel,5
chayote,chayote,11
goat_cheese,goat_cheese,14
cider,cider,50
watermelon,watermelon,6
veal,veal,1
sweet_potato,sweet_potato,13
leaf,leaf,2
cured_pork,cured_pork,12
apricot,apricot,10
porcini,porcini,1
cottage_cheese,cottage_cheese,22
oat,oat,6
brassica,brassica,4
wine,wine,15
cognac,cognac,2
bitter_orange,bitter_orange,8
tuna,tuna,17
prickly_pear,prickly_pear,14
fennel,fennel,20
nut,nut,12
sesame_oil,sesame_oil,5
shallot,shallot,23
mussel,mussel,4
peanut_butter,peanut_butter,7
salmon,salmon,9
pumpkin,pumpkin,18
fruit,fruit,10
champagne_wine,champagne_wine,2
papaya,papaya,7
endive,endive,2
chicory,chicory,5
marjoram,marjoram,10
root,root,4
citrus,citrus,10
beet,beet,7
fenugreek,fenugreek,13
orange_flower,orange_flower,1
corn_flake,corn_flake,2
blackberry,blackberry,3
strawberry,strawberry,13
feta_cheese,feta_cheese,9
guava,guava,4
blue_cheese,blue_cheese,3
horseradish,horseradish,4
cauliflower,cauliflower,3
hazelnut,hazelnut,4
chickpea,chickpea,18
dill,dill,19
peach,peach,12
gruyere_cheese,gruyere_cheese,1
grapefruit,grapefruit,12
rosemary,rosemary,21
brown_rice,brown_rice,26
grape_juice,grape_juice,16
cereal,cereal,1
sauerkraut,sauerkraut,1
romano_cheese,romano_cheese,2
barley,barley,2
sake,sake,6
blueberry,blueberry,2
egg_noodle,egg_noodle,9
haddock,haddock,3
kiwi,kiwi,8
mace,mace,1
malt,malt,2
red_kidney_bean,red_kidney_bean,9
leek,leek,4
munster_cheese,munster_cheese,2
broccoli,broccoli,10
currant,currant,1
mandarin,mandarin,2
wasabi,wasabi,2
baked_potato,baked_potato,1
popcorn,popcorn,4
swiss_cheese,swiss_cheese,5
squid,squid,3
artichoke,artichoke,1
bourbon_whiskey,bourbon_whiskey,1
whiskey,whiskey,1
gin,gin,1
passion_fruit,passion_fruit,3
parsnip,parsnip,1
yam,yam,2
octopus,octopus,1
bartlett_pear,bartlett_pear,1
coconut_oil,coconut_oil,1
cranberry,cranberry,4
black_tea,black_tea,1
smoked_salmon,smoked_salmon,1
lovage,lovage,3
tangerine,tangerine,1
oatmeal,oatmeal,1
maple_syrup,maple_syrup,1
turnip,turnip,2
date,date,1
roasted_meat,roasted_meat,1
wheat_bread,wheat_bread,2
sour_milk,sour_milk,1
okra,okra,4
kale,kale,1
nectarine,nectarine,1
roasted_sesame_seed,roasted_sesame_seed,1
gardenia,gardenia,1
thai_pepper,thai_pepper,1
port_wine,port_wine,1

