word,freq
olive_oil,olive_oil,262
pepper,pepper,87
lemon_juice,lemon_juice,160
cardamom,cardamom,26
lettuce,lettuce,16
garlic,garlic,212
chicken,chicken,64
bread,bread,70
tomato,tomato,110
vinegar,vinegar,42
onion,onion,221
roasted_sesame_seed,roasted_sesame_seed,26
malt,malt,1
parsley,parsley,134
yogurt,yogurt,57
vegetable_oil,vegetable_oil,132
coriander,coriander,58
cane_molasses,cane_molasses,35
lemon,lemon,88
black_pepper,black_pepper,145
celery,celery,25
carrot,carrot,63
orange,orange,36
mint,mint,73
pea,pea,10
lamb,lamb,48
wheat,wheat,272
cumin,cumin,115
potato,potato,48
green_bell_pepper,green_bell_pepper,10
white_wine,white_wine,20
cucumber,cucumber,33
cilantro,cilantro,65
scallion,scallion,57
rose,rose,18
walnut,walnut,51
lard,lard,16
yeast,yeast,21
basil,basil,14
whole_grain_wheat_flour,whole_grain_wheat_flour,8
thyme,thyme,35
chicken_broth,chicken_broth,57
bay,bay,22
lentil,lentil,10
cinnamon,cinnamon,124
brassica,brassica,2
nut,nut,26
milk,milk,43
turmeric,turmeric,35
pistachio,pistachio,21
egg,egg,239
cream,cream,44
beef,beef,48
red_wine,red_wine,30
seed,seed,21
starch,starch,31
sumac,sumac,9
radish,radish,5
bell_pepper,bell_pepper,68
cabbage,cabbage,6
cayenne,cayenne,73
butter,butter,165
orange_flower,orange_flower,3
nutmeg,nutmeg,17
sesame_seed,sesame_seed,26
corn,corn,13
vanilla,vanilla,45
cauliflower,cauliflower,5
olive,olive,25
coconut,coconut,9
oat,oat,1
dill,dill,39
cream_cheese,cream_cheese,9
rice,rice,27
zucchini,zucchini,30
strawberry,strawberry,17
milk_fat,milk_fat,13
macaroni,macaroni,12
mushroom,mushroom,8
mozzarella_cheese,mozzarella_cheese,5
raisin,raisin,40
fruit,fruit,5
black_bean,black_bean,1
turkey,turkey,3
chickpea,chickpea,35
apple,apple,31
cocoa,cocoa,23
date,date,19
pecan,pecan,11
honey,honey,43
shallot,shallot,12
almond,almond,52
avocado,avocado,3
lime_juice,lime_juice,12
lime,lime,5
grape_juice,grape_juice,8
ginger,ginger,37
meat,meat,12
asparagus,asparagus,10
squash,squash,12
saffron,saffron,16
fenugreek,fenugreek,14
bean,bean,9
barley,barley,3
orange_juice,orange_juice,35
berry,berry,1
egg_noodle,egg_noodle,10
beet,beet,8
cider,cider,4
cottage_cheese,cottage_cheese,6
orange_peel,orange_peel,15
pear,pear,7
wine,wine,8
hazelnut,hazelnut,9
currant,currant,6
apricot,apricot,30
yam,yam,7
plum,plum,14
roasted_beef,roasted_beef,3
tarragon,tarragon,5
lemon_peel,lemon_peel,26
leek,leek,21
sweet_potato,sweet_potato,15
rum,rum,3
horseradish,horseradish,9
fish,fish,20
raspberry,raspberry,7
beef_broth,beef_broth,5
cranberry,cranberry,3
turnip,turnip,8
bone_oil,bone_oil,4
peanut_oil,peanut_oil,3
parmesan_cheese,parmesan_cheese,7
banana,banana,4
coffee,coffee,9
rosemary,rosemary,17
root,root,3
lemongrass,lemongrass,2
pineapple,pineapple,3
corn_flake,corn_flake,2
chicken_liver,chicken_liver,3
fig,fig,10
brandy,brandy,11
mace,mace,3
maple_syrup,maple_syrup,2
smoke,smoke,5
rutabaga,rutabaga,1
kohlrabi,kohlrabi,1
parsnip,parsnip,8
marjoram,marjoram,5
vegetable,vegetable,23
cod,cod,2
fennel,fennel,10
chive,chive,13
sage,sage,7
salmon,salmon,4
smoked_salmon,smoked_salmon,2
sherry,sherry,4
soybean,soybean,4
oregano,oregano,19
beer,beer,1
veal,veal,6
mustard,mustard,6
tabasco_pepper,tabasco_pepper,1
cheese,cheese,8
caraway,caraway,10
blackberry,blackberry,4
tea,tea,3
clove,clove,1
rye_flour,rye_flour,4
anise_seed,anise_seed,1
porcini,porcini,4
peach,peach,1
liver,liver,1
flower,flower,1
sunflower_oil,sunflower_oil,1
artichoke,artichoke,6
whiskey,whiskey,1
buckwheat,buckwheat,1
broccoli,broccoli,2
leaf,leaf,1
watercress,watercress,2
rhubarb,rhubarb,2
cherry,cherry,1
mandarin,mandarin,2
shiitake,shiitake,1
feta_cheese,feta_cheese,15
chicory,chicory,1
endive,endive,2
cabernet_sauvignon_wine,cabernet_sauvignon_wine,1
lima_bean,lima_bean,1
quince,quince,3
mango,mango,1
citrus,citrus,1
pumpkin,pumpkin,4
condiment,condiment,2
tangerine,tangerine,1
tamarind,tamarind,2
thai_pepper,thai_pepper,2
soy_sauce,soy_sauce,4
goat_cheese,goat_cheese,1
gelatin,gelatin,3
pork,pork,2
tomato_juice,tomato_juice,3
cashew,cashew,2
brown_rice,brown_rice,1
shrimp,shrimp,4
okra,okra,1
melon,melon,1
scallop,scallop,1
chervil,chervil,2
champagne_wine,champagne_wine,1
white_bread,white_bread,1
pork_sausage,pork_sausage,1
catfish,catfish,1
grape,grape,2
kidney_bean,kidney_bean,2
cheddar_cheese,cheddar_cheese,1
tuna,tuna,2
crab,crab,1
smoked_sausage,smoked_sausage,1
black_tea,black_tea,1
grapefruit,grapefruit,1
savory,savory,1
sour_cherry,sour_cherry,1
star_anise,star_anise,1
caviar,caviar,1

