word,freq
cane_molasses,cane_molasses,6876
cherry,cherry,970
pineapple,pineapple,1490
mustard,mustard,3476
ham,ham,944
scallion,scallion,2293
green_bell_pepper,green_bell_pepper,1980
onion,onion,12311
thyme,thyme,2241
bell_pepper,bell_pepper,3751
bay,bay,906
smoked_sausage,smoked_sausage,218
garlic,garlic,10101
parsley,parsley,3683
smoke,smoke,308
rice,rice,1720
pork_sausage,pork_sausage,941
shrimp,shrimp,790
butter,butter,17088
corn_grit,corn_grit,108
black_pepper,black_pepper,6254
milk_fat,milk_fat,562
cheddar_cheese,cheddar_cheese,2417
egg,egg,16738
milk,milk,10996
lime_juice,lime_juice,766
fish,fish,656
cayenne,cayenne,3897
ginger,ginger,2254
mango,mango,249
oregano,oregano,1938
vegetable_oil,vegetable_oil,7808
tomato,tomato,5822
wheat,wheat,16532
olive_oil,olive_oil,5553
potato,potato,2562
beef,beef,3139
celery,celery,2991
clam,clam,211
chicken_broth,chicken_broth,2252
parmesan_cheese,parmesan_cheese,2014
crab,crab,449
chive,chive,1033
lime,lime,702
bread,bread,3411
orange_peel,orange_peel,423
brandy,brandy,262
vanilla,vanilla,8081
cream,cream,8124
vinegar,vinegar,5666
cider,cider,966
beet,beet,154
brassica,brassica,63
turnip,turnip,114
cabbage,cabbage,596
lemon_juice,lemon_juice,3755
tabasco_pepper,tabasco_pepper,800
tamarind,tamarind,1419
mint,mint,487
meat,meat,654
brown_rice,brown_rice,287
lettuce,lettuce,713
cucumber,cucumber,1212
basil,basil,2414
rosemary,rosemary,1387
pepper,pepper,7000
chicken,chicken,3737
wine,wine,486
kidney_bean,kidney_bean,288
cumin,cumin,1449
macaroni,macaroni,1924
corn,corn,3428
nutmeg,nutmeg,2120
orange,orange,1302
sherry,sherry,394
yeast,yeast,2811
lard,lard,2552
white_wine,white_wine,1291
kale,kale,59
scallop,scallop,161
coconut,coconut,1361
rum,rum,463
banana,banana,885
cocoa,cocoa,4338
pecan,pecan,2075
okra,okra,81
turkey,turkey,736
cheese,cheese,1871
pork,pork,1300
coriander,coriander,707
sage,sage,730
bacon,bacon,1717
mushroom,mushroom,2506
mussel,mussel,46
oyster,oyster,162
shiitake,shiitake,115
chayote,chayote,14
squash,squash,433
starch,starch,1920
vegetable,vegetable,818
lemon,lemon,2221
romano_cheese,romano_cheese,124
leek,leek,224
carrot,carrot,2333
citrus,citrus,90
cinnamon,cinnamon,4566
cream_cheese,cream_cheese,2567
licorice,licorice,18
watercress,watercress,94
root,root,36
catfish,catfish,59
shallot,shallot,721
buttermilk,buttermilk,1418
white_bread,white_bread,284
soy_sauce,soy_sauce,1620
red_kidney_bean,red_kidney_bean,50
seed,seed,935
horseradish,horseradish,339
mozzarella_cheese,mozzarella_cheese,764
apple,apple,2129
pear,pear,299
nut,nut,764
orange_juice,orange_juice,1445
date,date,314
grape,grape,283
grapefruit,grapefruit,91
yogurt,yogurt,700
red_wine,red_wine,823
lima_bean,lima_bean,117
dill,dill,879
honey,honey,1955
beef_broth,beef_broth,419
porcini,porcini,44
tarragon,tarragon,355
pea,pea,751
veal,veal,74
bone_oil,bone_oil,7
yam,yam,64
sweet_potato,sweet_potato,427
lovage,lovage,133
raisin,raisin,1445
lemon_peel,lemon_peel,508
peanut_oil,peanut_oil,100
bourbon_whiskey,bourbon_whiskey,147
bean,bean,1177
liver,liver,24
fennel,fennel,471
celery_oil,celery_oil,825
lentil,lentil,150
tuna,tuna,318
nectarine,nectarine,45
sesame_oil,sesame_oil,330
soybean,soybean,330
broccoli,broccoli,744
lemongrass,lemongrass,30
avocado,avocado,318
marjoram,marjoram,440
gelatin,gelatin,1274
cilantro,cilantro,892
blue_cheese,blue_cheese,331
chicory,chicory,61
mace,mace,89
coffee,coffee,568
macadamia_nut,macadamia_nut,99
plum,plum,178
almond,almond,1658
currant,currant,143
fig,fig,78
passion_fruit,passion_fruit,15
feta_cheese,feta_cheese,420
blackberry,blackberry,142
peanut,peanut,337
peanut_butter,peanut_butter,917
apricot,apricot,458
saffron,saffron,61
chickpea,chickpea,227
zucchini,zucchini,759
parsnip,parsnip,102
walnut,walnut,2444
peach,peach,476
cardamom,cardamom,165
goat_cheese,goat_cheese,163
wasabi,wasabi,44
olive,olive,1018
provolone_cheese,provolone_cheese,107
blueberry,blueberry,441
raspberry,raspberry,681
strawberry,strawberry,948
berry,berry,157
maple_syrup,maple_syrup,453
black_mustard_seed_oil,black_mustard_seed_oil,3
quince,quince,13
star_anise,star_anise,37
cranberry,cranberry,871
grape_juice,grape_juice,572
cured_pork,cured_pork,170
kiwi,kiwi,74
fruit,fruit,375
black_bean,black_bean,222
corn_flake,corn_flake,211
fenugreek,fenugreek,509
turmeric,turmeric,623
beer,beer,229
radish,radish,108
hazelnut,hazelnut,161
pumpkin,pumpkin,589
armagnac,armagnac,4
bitter_orange,bitter_orange,51
bartlett_pear,bartlett_pear,17
oat,oat,1216
anise,anise,124
salmon,salmon,345
roquefort_cheese,roquefort_cheese,16
rye_flour,rye_flour,92
endive,endive,54
sassafras,sassafras,18
peppermint,peppermint,139
caviar,caviar,16
salmon_roe,salmon_roe,4
smoked_salmon,smoked_salmon,64
roasted_beef,roasted_beef,163
cod,cod,93
black_currant,black_currant,8
lamb,lamb,210
barley,barley,162
cognac,cognac,23
lobster,lobster,90
asparagus,asparagus,309
anise_seed,anise_seed,23
buckwheat,buckwheat,19
cherry_brandy,cherry_brandy,18
tea,tea,77
papaya,papaya,29
cashew,cashew,149
sesame_seed,sesame_seed,364
truffle,truffle,24
savory,savory,87
roasted_pork,roasted_pork,93
gruyere_cheese,gruyere_cheese,19
chicken_liver,chicken_liver,25
pistachio,pistachio,130
rhubarb,rhubarb,155
melon,melon,134
oatmeal,oatmeal,52
whole_grain_wheat_flour,whole_grain_wheat_flour,614
black_tea,black_tea,24
artichoke,artichoke,256
watermelon,watermelon,88
champagne_wine,champagne_wine,75
caraway,caraway,117
concord_grape,concord_grape,12
roasted_peanut,roasted_peanut,103
apple_brandy,apple_brandy,25
rutabaga,rutabaga,21
lingonberry,lingonberry,3
lime_peel_oil,lime_peel_oil,68
lavender,lavender,36
tequila,tequila,74
bergamot,bergamot,6
kumquat,kumquat,21
cauliflower,cauliflower,252
cabernet_sauvignon_wine,cabernet_sauvignon_wine,13
laurel,laurel,2
juniper_berry,juniper_berry,9
leaf,leaf,2
brussels_sprout,brussels_sprout,77
pimento,pimento,217
sauerkraut,sauerkraut,126
rye_bread,rye_bread,73
galanga,galanga,5
green_tea,green_tea,12
chervil,chervil,21
roasted_sesame_seed,roasted_sesame_seed,58
tomato_juice,tomato_juice,133
tangerine,tangerine,21
flower,flower,18
palm,palm,17
smoked_fish,smoked_fish,6
thai_pepper,thai_pepper,29
egg_noodle,egg_noodle,236
potato_chip,potato_chip,64
swiss_cheese,swiss_cheese,458
sour_cherry,sour_cherry,32
pear_brandy,pear_brandy,8
chamomile,chamomile,2
black_raspberry,black_raspberry,8
whiskey,whiskey,122
cereal,cereal,198
cottage_cheese,cottage_cheese,258
popcorn,popcorn,92
malt,malt,28
mandarin_peel,mandarin_peel,2
wheat_bread,wheat_bread,67
camembert_cheese,camembert_cheese,4
jasmine,jasmine,4
wood,wood,30
prickly_pear,prickly_pear,6
seaweed,seaweed,13
chinese_cabbage,chinese_cabbage,1
clove,clove,7
rose,rose,26
mandarin,mandarin,268
guava,guava,8
sake,sake,135
violet,violet,4
squid,squid,21
huckleberry,huckleberry,9
balm,balm,3
herring,herring,3
haddock,haddock,18
sturgeon_caviar,sturgeon_caviar,1
condiment,condiment,5
geranium,geranium,1
pelargonium,pelargonium,1
gin,gin,62
