word,freq
butter,butter,160
tomato,tomato,6
dill,dill,27
shrimp,shrimp,9
horseradish,horseradish,2
olive,olive,2
vegetable_oil,vegetable_oil,33
white_bread,white_bread,2
egg,egg,132
yogurt,yogurt,2
vanilla,vanilla,38
lemon,lemon,12
cinnamon,cinnamon,38
blueberry,blueberry,2
wheat,wheat,145
pecan,pecan,4
milk_fat,milk_fat,6
starch,starch,11
almond,almond,46
licorice,licorice,1
milk,milk,56
lemon_juice,lemon_juice,16
cream,cream,72
vinegar,vinegar,38
mustard,mustard,21
onion,onion,39
black_pepper,black_pepper,33
cider,cider,7
bay,bay,6
beet,beet,10
caraway,caraway,12
macaroni,macaroni,1
seed,seed,14
olive_oil,olive_oil,11
potato,potato,28
chive,chive,8
parsley,parsley,12
white_wine,white_wine,13
cardamom,cardamom,33
blackberry,blackberry,2
raspberry,raspberry,2
coriander,coriander,9
pork,pork,10
juniper_berry,juniper_berry,3
cumin,cumin,8
celery,celery,5
carrot,carrot,14
pepper,pepper,29
gelatin,gelatin,5
brandy,brandy,6
lingonberry,lingonberry,5
cane_molasses,cane_molasses,31
cheese,cheese,4
rye_flour,rye_flour,18
ham,ham,5
tea,tea,1
bread,bread,14
orange_peel,orange_peel,3
yeast,yeast,23
corn,corn,9
lard,lard,13
vegetable,vegetable,3
anise_seed,anise_seed,4
lettuce,lettuce,7
cucumber,cucumber,11
apple,apple,14
fenugreek,fenugreek,5
garlic,garlic,8
turmeric,turmeric,5
fish,fish,6
scallion,scallion,4
smoke,smoke,3
rye_bread,rye_bread,9
smoked_salmon,smoked_salmon,5
thyme,thyme,3
avocado,avocado,2
leek,leek,2
beer,beer,1
mussel,mussel,2
coconut,coconut,4
sherry,sherry,3
tamarind,tamarind,3
turkey,turkey,1
egg_noodle,egg_noodle,1
nutmeg,nutmeg,14
beef_broth,beef_broth,4
plum,plum,6
red_wine,red_wine,8
meat,meat,2
cranberry,cranberry,1
orange,orange,18
cabbage,cabbage,8
oat,oat,5
buttermilk,buttermilk,8
beef,beef,13
cream_cheese,cream_cheese,2
pineapple,pineapple,1
walnut,walnut,8
cocoa,cocoa,6
fruit,fruit,3
orange_juice,orange_juice,4
chicken_broth,chicken_broth,3
pea,pea,4
bell_pepper,bell_pepper,5
veal,veal,3
green_bell_pepper,green_bell_pepper,1
celery_oil,celery_oil,1
tabasco_pepper,tabasco_pepper,1
currant,currant,3
caviar,caviar,1
date,date,1
rice,rice,4
fennel,fennel,4
pear,pear,3
ginger,ginger,12
cherry,cherry,4
raisin,raisin,12
port_wine,port_wine,5
wine,wine,3
whole_grain_wheat_flour,whole_grain_wheat_flour,3
nut,nut,1
saffron,saffron,1
citrus,citrus,2
salmon,salmon,5
bacon,bacon,3
bean,bean,2
shallot,shallot,4
cheddar_cheese,cheddar_cheese,1
honey,honey,2
turnip,turnip,2
rum,rum,2
coffee,coffee,3
corn_flake,corn_flake,1
romano_cheese,romano_cheese,1
berry,berry,2
rhubarb,rhubarb,1
strawberry,strawberry,2
bitter_orange,bitter_orange,1
rutabaga,rutabaga,1
chicken,chicken,3
bourbon_whiskey,bourbon_whiskey,1
whiskey,whiskey,1
sage,sage,1
banana,banana,1
blue_cheese,blue_cheese,1
lamb,lamb,3
cereal,cereal,1
mushroom,mushroom,1
hazelnut,hazelnut,1
lovage,lovage,1
tarragon,tarragon,2
chervil,chervil,1
herring,herring,7
roasted_pork,roasted_pork,1
radish,radish,3
cured_pork,cured_pork,1
scallop,scallop,1
salmon_roe,salmon_roe,1
barley,barley,1
cognac,cognac,1
cauliflower,cauliflower,2
squash,squash,1
mint,mint,1
parsnip,parsnip,1
pork_sausage,pork_sausage,2
sour_cherry,sour_cherry,1
cilantro,cilantro,1
lime_juice,lime_juice,2
crab,crab,1
roasted_beef,roasted_beef,1
mace,mace,1
apricot,apricot,1
lemon_peel,lemon_peel,1
clam,clam,1
rosemary,rosemary,1

