Recipe Type,Length
African,5
African,16
African,9
African,10
African,3
African,6
African,2
African,8
African,12
African,1
African,3
African,12
African,2
African,11
African,12
African,8
African,11
African,9
African,7
African,12
African,15
African,15
African,10
African,15
African,5
African,11
African,10
African,3
African,11
African,2
African,8
African,14
African,13
African,8
African,7
African,11
African,25
African,13
African,6
African,8
African,8
African,13
African,4
African,9
African,8
African,9
African,15
African,14
African,7
African,4
African,8
African,12
African,5
African,9
African,14
African,9
African,18
African,19
African,14
African,5
African,7
African,16
African,5
African,12
African,16
African,12
African,10
African,8
African,16
African,11
African,12
African,5
African,10
African,11
African,9
African,7
African,11
African,14
African,11
African,7
African,6
African,12
African,11
African,19
African,15
African,15
African,10
African,11
African,9
African,17
African,9
African,10
African,17
African,6
African,5
African,3
African,10
African,23
African,6
African,14
African,5
African,3
African,6
African,6
African,9
African,13
African,5
African,9
African,12
African,6
African,10
African,11
African,10
African,8
African,14
African,7
African,7
African,15
African,4
African,16
African,10
African,9
African,16
African,7
African,13
African,4
African,15
African,14
African,11
African,11
African,15
African,9
African,2
African,12
African,9
African,11
African,13
African,6
African,5
African,8
African,21
African,12
African,19
African,8
African,11
African,6
African,23
African,10
African,10
African,16
African,13
African,15
African,14
African,11
African,9
African,11
African,4
African,16
African,12
African,12
African,7
African,8
African,7
African,11
African,16
African,8
African,8
African,3
African,8
African,16
African,14
African,14
African,19
African,9
African,11
African,4
African,12
African,13
African,10
African,6
African,5
African,6
African,19
African,5
African,20
African,7
African,11
African,6
African,9
African,16
African,9
African,20
African,2
African,16
African,8
African,7
African,8
African,13
African,12
African,12
African,13
African,11
African,10
African,6
African,14
African,6
African,7
African,14
African,13
African,7
African,13
African,14
African,8
African,12
African,13
African,11
African,22
African,6
African,13
African,14
African,10
African,7
African,12
African,10
African,8
African,10
African,4
African,11
African,11
African,13
African,12
African,18
African,14
African,5
African,16
African,5
African,11
African,12
African,14
African,15
African,4
African,13
African,4
African,5
African,10
African,8
African,18
African,10
African,6
African,9
African,10
African,9
African,11
African,16
African,10
African,10
African,7
African,9
African,9
African,5
African,5
African,17
African,9
African,8
African,9
African,15
African,5
African,13
African,8
African,12
African,11
African,7
African,8
African,8
African,9
African,23
African,7
African,10
African,7
African,13
African,13
African,9
African,6
African,15
African,11
African,14
African,12
African,14
African,10
African,16
African,19
African,8
African,6
African,11
African,11
African,16
African,8
African,8
African,16
African,16
African,6
African,10
African,10
African,8
African,6
African,14
African,14
African,7
African,9
African,6
African,11
African,7
African,10
