word,freq
black_mustard_seed_oil,black_mustard_seed_oil,25
coconut,coconut,85
fenugreek,fenugreek,173
fish,fish,13
pepper,pepper,188
ginger,ginger,264
seed,seed,50
garlic,garlic,295
tomato,tomato,176
coriander,coriander,294
rice,rice,101
cayenne,cayenne,300
cumin,cumin,375
mango,mango,50
coconut_oil,coconut_oil,3
turmeric,turmeric,319
butter,butter,132
cashew,cashew,30
cardamom,cardamom,96
almond,almond,26
raisin,raisin,35
saffron,saffron,17
milk,milk,61
lemon,lemon,19
cinnamon,cinnamon,107
wheat,wheat,75
lime_juice,lime_juice,33
carrot,carrot,57
okra,okra,9
onion,onion,316
savory,savory,1
lemon_juice,lemon_juice,94
black_pepper,black_pepper,122
yogurt,yogurt,148
chicken,chicken,131
macaroni,macaroni,5
lamb,lamb,22
cane_molasses,cane_molasses,30
vegetable_oil,vegetable_oil,265
cilantro,cilantro,180
mint,mint,47
white_wine,white_wine,11
chicken_broth,chicken_broth,45
bay,bay,41
celery,celery,21
vegetable,vegetable,24
orange,orange,7
vinegar,vinegar,55
pork,pork,4
oregano,oregano,4
lime,lime,29
olive_oil,olive_oil,93
cauliflower,cauliflower,27
potato,potato,74
buttermilk,buttermilk,9
beef,beef,18
feta_cheese,feta_cheese,3
pear,pear,5
parsley,parsley,20
walnut,walnut,4
chicory,chicory,1
barley,barley,3
cucumber,cucumber,25
zucchini,zucchini,13
lentil,lentil,32
shrimp,shrimp,24
scallion,scallion,37
pea,pea,49
coffee,coffee,3
tamarind,tamarind,32
sherry,sherry,5
caraway,caraway,3
apple,apple,20
vanilla,vanilla,15
cider,cider,13
grape,grape,6
cream,cream,59
shallot,shallot,10
meat,meat,9
bell_pepper,bell_pepper,106
lard,lard,5
lettuce,lettuce,9
bread,bread,15
egg,egg,49
watercress,watercress,2
yeast,yeast,10
orange_juice,orange_juice,2
apricot,apricot,8
peanut_oil,peanut_oil,6
mustard,mustard,59
lime_peel_oil,lime_peel_oil,2
honey,honey,14
pistachio,pistachio,9
milk_fat,milk_fat,12
strawberry,strawberry,3
wine,wine,4
cream_cheese,cream_cheese,2
chickpea,chickpea,28
mace,mace,4
nutmeg,nutmeg,19
papaya,papaya,1
bean,bean,14
pineapple,pineapple,8
turkey,turkey,3
watermelon,watermelon,2
cocoa,cocoa,5
thyme,thyme,4
chive,chive,5
root,root,1
kiwi,kiwi,2
palm,palm,2
corn,corn,22
currant,currant,5
peach,peach,8
crab,crab,4
anise_seed,anise_seed,3
clam,clam,3
lemongrass,lemongrass,2
passion_fruit,passion_fruit,1
rum,rum,1
salmon,salmon,9
broccoli,broccoli,4
orange_peel,orange_peel,1
fennel,fennel,17
celery_oil,celery_oil,5
soy_sauce,soy_sauce,7
scallop,scallop,5
beet,beet,2
date,date,2
parmesan_cheese,parmesan_cheese,4
soybean,soybean,9
sunflower_oil,sunflower_oil,4
lemon_peel,lemon_peel,1
radish,radish,4
tabasco_pepper,tabasco_pepper,3
prawn,prawn,4
sweet_potato,sweet_potato,6
galanga,galanga,1
thai_pepper,thai_pepper,1
dill,dill,2
roasted_peanut,roasted_peanut,6
melon,melon,2
wheat_bread,wheat_bread,1
basil,basil,4
raspberry,raspberry,1
berry,berry,3
bitter_orange,bitter_orange,1
gelatin,gelatin,2
brandy,brandy,2
blackberry,blackberry,1
blueberry,blueberry,2
peppermint,peppermint,2
jasmine,jasmine,3
sesame_seed,sesame_seed,3
tea,tea,8
red_wine,red_wine,4
black_tea,black_tea,5
asparagus,asparagus,3
leek,leek,1
star_anise,star_anise,2
whole_grain_wheat_flour,whole_grain_wheat_flour,9
cheese,cheese,5
beef_broth,beef_broth,4
roasted_beef,roasted_beef,3
goat_cheese,goat_cheese,1
brassica,brassica,4
squash,squash,3
grape_juice,grape_juice,3
cherry,cherry,1
kidney_bean,kidney_bean,5
nut,nut,10
peanut,peanut,9
lobster,lobster,1
yam,yam,3
green_bell_pepper,green_bell_pepper,13
banana,banana,5
mung_bean,mung_bean,1
sesame_oil,sesame_oil,7
rose,rose,6
rosemary,rosemary,1
plum,plum,1
kale,kale,1
parsnip,parsnip,2
cabbage,cabbage,5
peanut_butter,peanut_butter,4
brown_rice,brown_rice,6
white_bread,white_bread,1
malt,malt,1
sage,sage,1
smoke,smoke,3
turnip,turnip,4
fruit,fruit,1
mushroom,mushroom,6
haddock,haddock,1
porcini,porcini,1
starch,starch,7
tomato_juice,tomato_juice,1
potato_chip,potato_chip,1
lima_bean,lima_bean,2
pumpkin,pumpkin,3
cod,cod,4
cranberry,cranberry,2
olive,olive,1
cheddar_cheese,cheddar_cheese,1
bacon,bacon,1

