word,freq
olive_oil,olive_oil,36
lime_juice,lime_juice,132
fish,fish,226
lettuce,lettuce,33
carrot,carrot,70
garlic,garlic,284
mint,mint,74
vinegar,vinegar,98
cilantro,cilantro,163
shiitake,shiitake,14
cayenne,cayenne,191
shrimp,shrimp,81
seed,seed,11
basil,basil,75
cucumber,cucumber,52
rice,rice,163
onion,onion,126
black_pepper,black_pepper,88
soy_sauce,soy_sauce,144
thai_pepper,thai_pepper,40
shallot,shallot,69
ginger,ginger,153
roasted_beef,roasted_beef,3
bean,bean,62
vegetable_oil,vegetable_oil,180
beef_broth,beef_broth,6
pea,pea,20
lime,lime,84
coriander,coriander,122
lemon,lemon,17
scallion,scallion,128
peanut,peanut,42
sesame_oil,sesame_oil,48
beef,beef,53
root,root,14
lemongrass,lemongrass,96
tomato,tomato,54
oregano,oregano,5
pineapple,pineapple,9
chicken,chicken,136
pork,pork,39
wheat,wheat,41
mushroom,mushroom,26
bread,bread,24
butter,butter,32
lard,lard,1
egg,egg,62
mango,mango,17
fenugreek,fenugreek,70
pepper,pepper,123
coconut,coconut,129
chicken_broth,chicken_broth,72
cumin,cumin,101
turmeric,turmeric,90
cane_molasses,cane_molasses,53
milk_fat,milk_fat,1
nutmeg,nutmeg,3
cinnamon,cinnamon,14
cream,cream,16
milk,milk,20
pumpkin,pumpkin,5
roasted_peanut,roasted_peanut,36
cabbage,cabbage,29
macaroni,macaroni,17
bell_pepper,bell_pepper,70
wine,wine,20
soybean,soybean,26
mung_bean,mung_bean,3
sherry,sherry,6
watercress,watercress,5
oyster,oyster,20
dill,dill,2
yeast,yeast,8
catfish,catfish,3
turkey,turkey,1
green_bell_pepper,green_bell_pepper,11
orange,orange,3
star_anise,star_anise,16
white_wine,white_wine,18
radish,radish,12
tamarind,tamarind,22
starch,starch,24
crab,crab,10
corn,corn,22
brussels_sprout,brussels_sprout,1
sesame_seed,sesame_seed,10
mandarin_peel,mandarin_peel,1
grapefruit,grapefruit,3
pecan,pecan,1
papaya,papaya,5
lemon_juice,lemon_juice,26
meat,meat,6
peanut_oil,peanut_oil,23
banana,banana,8
palm,palm,13
sweet_potato,sweet_potato,3
tea,tea,3
tabasco_pepper,tabasco_pepper,10
squid,squid,7
bone_oil,bone_oil,1
pork_liver,pork_liver,1
raisin,raisin,4
cheddar_cheese,cheddar_cheese,1
pork_sausage,pork_sausage,2
cider,cider,7
honey,honey,24
vanilla,vanilla,7
mozzarella_cheese,mozzarella_cheese,1
cassava,cassava,1
sake,sake,3
peanut_butter,peanut_butter,37
bay,bay,12
cheese,cheese,3
potato,potato,8
mustard,mustard,7
parsley,parsley,8
chive,chive,7
violet,violet,1
yam,yam,2
broccoli,broccoli,7
roasted_pork,roasted_pork,2
avocado,avocado,1
celery_oil,celery_oil,9
celery,celery,10
nut,nut,8
prawn,prawn,3
zucchini,zucchini,7
rum,rum,1
macadamia_nut,macadamia_nut,2
galanga,galanga,28
salmon,salmon,4
vegetable,vegetable,6
lemon_peel,lemon_peel,3
scallop,scallop,5
mussel,mussel,6
kale,kale,1
fruit,fruit,1
apricot,apricot,1
apple,apple,4
thyme,thyme,3
cashew,cashew,5
clam,clam,4
roasted_sesame_seed,roasted_sesame_seed,2
orange_juice,orange_juice,1
grape_juice,grape_juice,2
asparagus,asparagus,5
olive,olive,1
lime_peel_oil,lime_peel_oil,2
chervil,chervil,1
pear,pear,1
leek,leek,1
cardamom,cardamom,3
tangerine,tangerine,2
mace,mace,1
anise,anise,1
squash,squash,5
tarragon,tarragon,1
chayote,chayote,1
holy_basil,holy_basil,2
almond,almond,3
maple_syrup,maple_syrup,1
lamb,lamb,3
black_bean,black_bean,1
egg_noodle,egg_noodle,3
yogurt,yogurt,2
fennel,fennel,1
walnut,walnut,1
whole_grain_wheat_flour,whole_grain_wheat_flour,1
cream_cheese,cream_cheese,1
durian,durian,1
coffee,coffee,2
parmesan_cheese,parmesan_cheese,1
red_wine,red_wine,1
marjoram,marjoram,2
sage,sage,2
rosemary,rosemary,2
tuna,tuna,2
ham,ham,1
chicory,chicory,1
mandarin,mandarin,1
brown_rice,brown_rice,1
saffron,saffron,1
buckwheat,buckwheat,1
provolone_cheese,provolone_cheese,1

