word,freq
lemon,lemon,344
potato,potato,211
egg,egg,1097
nut,nut,181
almond,almond,210
starch,starch,65
tomato,tomato,1593
olive_oil,olive_oil,2612
green_bell_pepper,green_bell_pepper,172
wheat,wheat,1027
apple,apple,24
onion,onion,1451
vinegar,vinegar,417
beef,beef,318
nutmeg,nutmeg,125
cinnamon,cinnamon,171
lard,lard,76
orange_juice,orange_juice,60
brandy,brandy,34
lemon_juice,lemon_juice,442
red_wine,red_wine,277
lime_juice,lime_juice,24
cayenne,cayenne,327
parsley,parsley,1025
black_pepper,black_pepper,1039
mango,mango,7
cucumber,cucumber,91
bell_pepper,bell_pepper,737
basil,basil,1059
garlic,garlic,2181
watermelon,watermelon,4
cheese,cheese,652
pepper,pepper,459
chicken,chicken,339
zucchini,zucchini,160
vegetable_oil,vegetable_oil,315
tuna,tuna,39
bean,bean,173
celery_oil,celery_oil,13
corn,corn,177
tarragon,tarragon,35
scallion,scallion,155
tomato_juice,tomato_juice,16
anise,anise,47
cumin,cumin,101
celery,celery,227
oregano,oregano,643
fenugreek,fenugreek,12
mushroom,mushroom,320
lobster,lobster,16
mussel,mussel,40
coriander,coriander,50
clam,clam,88
chicken_broth,chicken_broth,439
saffron,saffron,71
shrimp,shrimp,145
rice,rice,226
pea,pea,104
turmeric,turmeric,22
pork_sausage,pork_sausage,269
thyme,thyme,378
lima_bean,lima_bean,11
rosemary,rosemary,372
cilantro,cilantro,66
bread,bread,499
ham,ham,192
bacon,bacon,125
white_wine,white_wine,486
blue_cheese,blue_cheese,53
beef_broth,beef_broth,70
cherry,cherry,36
pineapple,pineapple,12
orange,orange,139
lime,lime,20
sherry,sherry,91
yeast,yeast,225
vanilla,vanilla,269
milk,milk,525
lentil,lentil,22
butter,butter,1020
macaroni,macaroni,978
walnut,walnut,82
lemon_peel,lemon_peel,107
parmesan_cheese,parmesan_cheese,1007
grape_juice,grape_juice,162
romano_cheese,romano_cheese,143
scallop,scallop,42
veal,veal,72
fennel,fennel,293
cured_pork,cured_pork,124
mozzarella_cheese,mozzarella_cheese,419
olive,olive,360
shallot,shallot,140
artichoke,artichoke,113
strawberry,strawberry,36
mint,mint,125
grape,grape,27
lettuce,lettuce,61
carrot,carrot,233
cabbage,cabbage,39
fish,fish,255
white_bread,white_bread,42
milk_fat,milk_fat,134
cream,cream,523
leek,leek,50
pork,pork,117
meat,meat,73
feta_cheese,feta_cheese,162
provolone_cheese,provolone_cheese,56
shiitake,shiitake,37
porcini,porcini,46
asparagus,asparagus,66
bay,bay,188
berry,berry,11
seed,seed,46
squash,squash,46
kidney_bean,kidney_bean,36
sage,sage,122
chive,chive,71
broccoli,broccoli,78
smoked_salmon,smoked_salmon,10
blackberry,blackberry,10
raspberry,raspberry,26
blueberry,blueberry,7
turkey,turkey,54
liver,liver,8
cranberry,cranberry,14
cocoa,cocoa,139
pistachio,pistachio,27
nectarine,nectarine,2
peach,peach,14
fruit,fruit,25
gelatin,gelatin,52
buttermilk,buttermilk,71
lime_peel_oil,lime_peel_oil,2
wine,wine,127
rapeseed,rapeseed,3
mustard,mustard,74
goat_cheese,goat_cheese,54
citrus,citrus,15
raisin,raisin,67
honey,honey,134
pear,pear,23
banana,banana,7
orange_peel,orange_peel,69
hazelnut,hazelnut,54
roasted_beef,roasted_beef,13
cabernet_sauvignon_wine,cabernet_sauvignon_wine,2
turnip,turnip,7
swiss_cheese,swiss_cheese,8
whole_grain_wheat_flour,whole_grain_wheat_flour,40
juniper_berry,juniper_berry,6
apricot,apricot,27
fig,fig,33
lamb,lamb,78
sesame_seed,sesame_seed,24
bone_oil,bone_oil,3
cane_molasses,cane_molasses,95
coconut,coconut,23
coffee,coffee,52
grape_brandy,grape_brandy,8
anise_seed,anise_seed,22
vegetable,vegetable,102
truffle,truffle,19
wheat_bread,wheat_bread,6
smoke,smoke,67
chicory,chicory,39
cream_cheese,cream_cheese,69
chicken_liver,chicken_liver,12
crab,crab,13
pimento,pimento,23
cod,cod,22
rum,rum,36
quince,quince,7
kumquat,kumquat,1
root,root,5
oyster,oyster,11
marjoram,marjoram,38
peanut,peanut,2
thai_pepper,thai_pepper,2
yogurt,yogurt,70
squid,squid,44
cauliflower,cauliflower,18
lavender,lavender,4
radish,radish,10
kale,kale,29
savory,savory,10
cider,cider,10
cardamom,cardamom,8
plum,plum,17
chervil,chervil,5
octopus,octopus,10
rye_bread,rye_bread,3
rhubarb,rhubarb,2
endive,endive,34
pecan,pecan,17
salmon,salmon,12
