word,freq
butter,butter,1395
cocoa,cocoa,186
vanilla,vanilla,379
wheat,wheat,1278
lard,lard,174
green_bell_pepper,green_bell_pepper,12
beef,beef,219
onion,onion,720
potato,potato,300
soy_sauce,soy_sauce,32
cayenne,cayenne,79
milk,milk,693
bell_pepper,bell_pepper,153
cheddar_cheese,cheddar_cheese,54
leek,leek,89
ham,ham,80
milk_fat,milk_fat,143
coffee,coffee,48
egg,egg,1303
starch,starch,117
vegetable_oil,vegetable_oil,392
buttermilk,buttermilk,82
almond,almond,184
apple,apple,127
cane_molasses,cane_molasses,247
coriander,coriander,55
pepper,pepper,279
fenugreek,fenugreek,35
parsley,parsley,376
tamarind,tamarind,54
bread,bread,301
vinegar,vinegar,360
chicken_broth,chicken_broth,157
cumin,cumin,46
veal,veal,33
cheese,cheese,165
turmeric,turmeric,35
yeast,yeast,138
raisin,raisin,153
currant,currant,47
tomato,tomato,314
black_pepper,black_pepper,548
swiss_cheese,swiss_cheese,46
garlic,garlic,510
cinnamon,cinnamon,210
oregano,oregano,33
basil,basil,107
mushroom,mushroom,145
nutmeg,nutmeg,155
raspberry,raspberry,54
blueberry,blueberry,11
citrus,citrus,26
walnut,walnut,83
bacon,bacon,167
mustard,mustard,252
cream,cream,640
lemon,lemon,157
corn,corn,128
lemon_juice,lemon_juice,249
ginger,ginger,100
oat,oat,35
olive_oil,olive_oil,455
olive,olive,81
bay,bay,177
white_wine,white_wine,211
orange_peel,orange_peel,41
fish,fish,103
saffron,saffron,25
fennel,fennel,72
mint,mint,37
orange_flower,orange_flower,5
peach,peach,16
dill,dill,33
radish,radish,27
cream_cheese,cream_cheese,50
chive,chive,120
smoked_salmon,smoked_salmon,9
pork,pork,83
shallot,shallot,169
celery,celery,140
champagne_wine,champagne_wine,9
bean,bean,69
carrot,carrot,253
truffle,truffle,9
chicken,chicken,152
plum,plum,25
thyme,thyme,273
brandy,brandy,54
sherry,sherry,49
lobster,lobster,9
tarragon,tarragon,72
cherry,cherry,48
clam,clam,16
mussel,mussel,32
lemon_peel,lemon_peel,48
red_wine,red_wine,125
beef_broth,beef_broth,112
endive,endive,21
shiitake,shiitake,17
chicory,chicory,31
sage,sage,28
rosemary,rosemary,82
anise,anise,38
zucchini,zucchini,38
asparagus,asparagus,29
parmesan_cheese,parmesan_cheese,86
pea,pea,46
scallop,scallop,26
cucumber,cucumber,82
anise_seed,anise_seed,9
grape_juice,grape_juice,38
lima_bean,lima_bean,4
artichoke,artichoke,14
lavender,lavender,22
macaroni,macaroni,34
savory,savory,24
smoke,smoke,29
porcini,porcini,9
kidney_bean,kidney_bean,8
tuna,tuna,23
salmon,salmon,26
fruit,fruit,43
white_bread,white_bread,20
cognac,cognac,36
whole_grain_wheat_flour,whole_grain_wheat_flour,35
lamb,lamb,41
vegetable,vegetable,65
armagnac,armagnac,6
coconut,coconut,20
rum,rum,52
orange_juice,orange_juice,46
orange,orange,97
pineapple,pineapple,20
meat,meat,96
roasted_beef,roasted_beef,11
wine,wine,59
lemongrass,lemongrass,5
honey,honey,87
bitter_orange,bitter_orange,16
grape,grape,13
gelatin,gelatin,53
rice,rice,46
apple_brandy,apple_brandy,12
hazelnut,hazelnut,45
pear,pear,25
goat_cheese,goat_cheese,24
apricot,apricot,40
pumpkin,pumpkin,22
chervil,chervil,20
cider,cider,44
cilantro,cilantro,13
crab,crab,11
rhubarb,rhubarb,9
cranberry,cranberry,17
marjoram,marjoram,15
lettuce,lettuce,56
chicken_liver,chicken_liver,8
pistachio,pistachio,23
gruyere_cheese,gruyere_cheese,18
mozzarella_cheese,mozzarella_cheese,44
blue_cheese,blue_cheese,7
seed,seed,75
oyster,oyster,12
papaya,papaya,2
lime_juice,lime_juice,15
scallion,scallion,69
octopus,octopus,1
nut,nut,41
parsnip,parsnip,15
caviar,caviar,4
peanut_oil,peanut_oil,7
cod,cod,12
squash,squash,10
yogurt,yogurt,28
lime,lime,7
black_bean,black_bean,1
tabasco_pepper,tabasco_pepper,21
barley,barley,12
pork_sausage,pork_sausage,39
leaf,leaf,3
flower,flower,5
sweet_potato,sweet_potato,12
star_anise,star_anise,10
shrimp,shrimp,39
roquefort_cheese,roquefort_cheese,6
beet,beet,8
celery_oil,celery_oil,49
mango,mango,9
watercress,watercress,11
soybean,soybean,10
chickpea,chickpea,1
bone_oil,bone_oil,9
fig,fig,14
cured_pork,cured_pork,6
strawberry,strawberry,50
grapefruit,grapefruit,5
tangerine,tangerine,9
turnip,turnip,28
lentil,lentil,16
mutton,mutton,1
feta_cheese,feta_cheese,6
cabbage,cabbage,66
blackberry,blackberry,6
cabernet_sauvignon_wine,cabernet_sauvignon_wine,1
smoked_sausage,smoked_sausage,14
berry,berry,8
beer,beer,30
camembert_cheese,camembert_cheese,8
tea,tea,7
pecan,pecan,29
salmon_roe,salmon_roe,2
broccoli,broccoli,23
pear_brandy,pear_brandy,1
juniper_berry,juniper_berry,10
sauerkraut,sauerkraut,28
bourbon_whiskey,bourbon_whiskey,6
root,root,5
lingonberry,lingonberry,1
turkey,turkey,7
caraway,caraway,36
cauliflower,cauliflower,13
wood,wood,2
brussels_sprout,brussels_sprout,2
sour_cherry,sour_cherry,7
horseradish,horseradish,13
banana,banana,24
popcorn,popcorn,1
egg_noodle,egg_noodle,10
kumquat,kumquat,3
cherry_brandy,cherry_brandy,11
cashew,cashew,4
quince,quince,3
date,date,13
maple_syrup,maple_syrup,9
cardamom,cardamom,17
cottage_cheese,cottage_cheese,8
nectarine,nectarine,2
rose,rose,5
buckwheat,buckwheat,3
black_currant,black_currant,1
bergamot,bergamot,1
bartlett_pear,bartlett_pear,2
liver,liver,6
pork_liver,pork_liver,1
port_wine,port_wine,6
litchi,litchi,1
brown_rice,brown_rice,2
seaweed,seaweed,1
chamomile,chamomile,1
munster_cheese,munster_cheese,1
kiwi,kiwi,15
melon,melon,1
romano_cheese,romano_cheese,5
kale,kale,2
brassica,brassica,2
oatmeal,oatmeal,4
rutabaga,rutabaga,8
beef_liver,beef_liver,1
corn_grit,corn_grit,1
sheep_cheese,sheep_cheese,1
whiskey,whiskey,15
wheat_bread,wheat_bread,5
malt,malt,4
roasted_pork,roasted_pork,3
mace,mace,7
rye_bread,rye_bread,2
sesame_seed,sesame_seed,8
frankfurter,frankfurter,7
rye_flour,rye_flour,6
blackberry_brandy,blackberry_brandy,1
cacao,cacao,1
gin,gin,4
sesame_oil,sesame_oil,13
avocado,avocado,5
black_tea,black_tea,2
macadamia_nut,macadamia_nut,1
provolone_cheese,provolone_cheese,3
mandarin_peel,mandarin_peel,1
squid,squid,8
sake,sake,15
corn_flake,corn_flake,2
peanut_butter,peanut_butter,6
cereal,cereal,3
strawberry_jam,strawberry_jam,1
strawberry_juice,strawberry_juice,2
peanut,peanut,7
roasted_sesame_seed,roasted_sesame_seed,5
enokidake,enokidake,4
mandarin,mandarin,1
wasabi,wasabi,2
mackerel,mackerel,4
japanese_plum,japanese_plum,1
nira,nira,1
chinese_cabbage,chinese_cabbage,2
watermelon,watermelon,4
matsutake,matsutake,2
green_tea,green_tea,5
shellfish,shellfish,1
artemisia,artemisia,1
citrus_peel,citrus_peel,1
jamaican_rum,jamaican_rum,1
tequila,tequila,1
emmental_cheese,emmental_cheese,1
red_bean,red_bean,1
black_sesame_seed,black_sesame_seed,2
haddock,haddock,4
hop,hop,1
elderberry,elderberry,1
pimento,pimento,1

